fname               ,Compiler for Instance ,Compiler for Class ,Compile Instance ,build query ,mode check ,instance search ,refine.typecheck ,msolve  ,query-compilation ,static-check ,optimization ,runtime ,mode check fail ,instance search fail ,refine.typecheck fail ,msolve fail
option.v            ,               0.1577 ,            0.0038 ,          0.0855 ,     0.0393 ,    0.0059 ,         0.0062 ,          0.0097 , 0.1472 ,           0.0242 ,      0.0000 ,      1.2375 , 0.3317 ,         0.0001 ,              0.0000 ,                      ,     0.0079
TOTAL               ,               5.0561 ,            0.0300 ,         44.6401 ,     3.9066 ,    0.7969 ,         3.1154 ,          1.4062 ,69.2573 ,           2.3306 ,      0.2318 ,     72.7738 ,75.9909 ,         0.0048 ,              0.1011 ,               0.1376 ,     1.6237
orders.v            ,               0.0179 ,                   ,          0.0117 ,     0.0023 ,    0.0005 ,         0.0010 ,          0.0010 , 0.0159 ,           0.0029 ,      0.0000 ,      0.1261 , 0.0363 ,                ,              0.0000 ,                      ,     0.0005
numbers.v           ,               0.2277 ,                   ,          0.0424 ,     0.0429 ,    0.0058 ,         0.0126 ,          0.0101 , 0.1008 ,           0.0532 ,      0.0000 ,      1.2723 , 0.3518 ,         0.0001 ,              0.0002 ,                      ,     0.0117
list.v              ,               0.5206 ,            0.0036 ,          0.3591 ,     0.3695 ,    0.0567 ,         0.0909 ,          0.0859 , 1.1516 ,           0.1983 ,      0.0004 ,      6.6675 , 1.8232 ,         0.0001 ,              0.0049 ,                      ,     0.1246
list_numbers.v      ,                      ,                   ,                 ,     0.0160 ,    0.0025 ,         0.0024 ,          0.0038 , 0.0429 ,           0.0085 ,      0.0000 ,      0.2427 , 0.0480 ,                ,              0.0000 ,                      ,     0.0048
fin.v               ,               0.0041 ,                   ,          0.0011 ,     0.0003 ,    0.0000 ,         0.0001 ,          0.0000 , 0.0006 ,           0.0004 ,      0.0000 ,      0.0150 , 0.0051 ,                ,                     ,                      ,      
countable.v         ,               0.0550 ,            0.0014 ,          0.0948 ,     0.0469 ,    0.0072 ,         0.0064 ,          0.0094 , 0.2010 ,           0.0320 ,      0.0000 ,      0.8518 , 0.2725 ,         0.0002 ,              0.0000 ,                      ,     0.0072
vector.v            ,               0.0114 ,                   ,          0.0104 ,     0.0141 ,    0.0024 ,         0.0053 ,          0.0034 , 0.0441 ,           0.0064 ,      0.0000 ,      0.2865 , 0.0607 ,                ,              0.0004 ,                      ,     0.0026
finite.v            ,               0.0749 ,            0.0009 ,          0.2285 ,     0.0532 ,    0.0124 ,         0.0237 ,          0.0169 , 0.4319 ,           0.0338 ,      0.1244 ,      1.3048 , 0.5351 ,         0.0006 ,              0.0006 ,                      ,     0.0095
sets.v              ,               0.9123 ,            0.0028 ,          2.8233 ,     0.3803 ,    0.0791 ,         0.6181 ,          0.1611 , 4.8983 ,           0.2421 ,      0.0000 ,     10.8790 , 6.0302 ,                ,              0.0620 ,               0.0585 ,     0.1536
relations.v         ,               0.0148 ,                   ,          0.0068 ,     0.0068 ,    0.0011 ,         0.0222 ,          0.0032 , 0.0516 ,           0.0054 ,      0.0000 ,      0.2136 , 0.0700 ,                ,              0.0000 ,                      ,     0.0008
fin_sets.v          ,               0.2653 ,                   ,          3.2447 ,     0.3279 ,    0.0530 ,         0.9737 ,          0.1090 , 5.8097 ,           0.1712 ,      0.1070 ,      6.0842 , 6.1961 ,         0.0011 ,              0.0003 ,                      ,     0.1278
fin_maps.v          ,               1.0780 ,            0.0022 ,         26.6823 ,     1.6162 ,    0.3786 ,         0.6218 ,          0.5951 ,38.8361 ,           0.9424 ,      0.0000 ,     23.2104 ,40.5250 ,         0.0003 ,              0.0035 ,               0.0688 ,     0.8563
fin_map_dom.v       ,               0.2106 ,            0.0014 ,          9.2848 ,     0.3789 ,    0.0781 ,         0.3857 ,          0.1602 ,13.2716 ,           0.2453 ,      0.0000 ,      4.4981 ,13.6458 ,         0.0023 ,              0.0014 ,               0.0103 ,     0.2309
listset.v           ,               0.0597 ,                   ,          0.0120 ,     0.0062 ,    0.0014 ,         0.0011 ,          0.0024 , 0.0267 ,           0.0055 ,      0.0000 ,      0.4136 , 0.0914 ,                ,                     ,                      ,      
lexico.v            ,               0.0312 ,                   ,          0.0621 ,     0.0188 ,    0.0015 ,         0.0014 ,          0.0029 , 0.0903 ,           0.0165 ,      0.0000 ,      0.3327 , 0.1341 ,                ,                     ,                      ,      
boolset.v           ,               0.0221 ,                   ,          0.0048 ,     0.0014 ,    0.0003 ,         0.0004 ,          0.0006 , 0.0073 ,           0.0012 ,      0.0000 ,      0.1028 , 0.0309 ,                ,                     ,                      ,      
mapset.v            ,               0.1529 ,                   ,          0.4408 ,     0.0338 ,    0.0074 ,         0.0072 ,          0.0106 , 0.6598 ,           0.0163 ,      0.0000 ,      1.0479 , 0.8267 ,                ,                     ,                      ,      
pmap.v              ,               0.0403 ,                   ,          0.0158 ,     0.0733 ,    0.0116 ,         0.0337 ,          0.0280 , 0.3420 ,           0.0581 ,      0.0000 ,      1.9121 , 0.4245 ,                ,              0.0003 ,                      ,     0.0016
strings.v           ,               0.0084 ,                   ,          0.0013 ,     0.0077 ,    0.0006 ,         0.0003 ,          0.0004 , 0.0036 ,           0.0011 ,      0.0000 ,      0.0496 , 0.0129 ,                ,              0.0005 ,                      ,     0.0061
pretty.v            ,               0.0128 ,            0.0010 ,          0.0018 ,     0.0131 ,    0.0021 ,         0.0024 ,          0.0057 , 0.0501 ,           0.0110 ,      0.0000 ,      0.3682 , 0.0717 ,                ,              0.0002 ,                      ,     0.0038
infinite.v          ,               0.0331 ,                   ,          0.0122 ,     0.0045 ,    0.0009 ,         0.0010 ,          0.0015 , 0.0251 ,           0.0038 ,      0.0000 ,      0.2084 , 0.0616 ,                ,                     ,                      ,      
