fname,Compiler for Instance,Compiler for Class,Compile Instance,build query,compile context, normalize ty,mode check,refine.typecheck,msolve,full instance search, instance search,query-compilation,static-check,optimization,runtime
base.v,0.3622,0.0696,0.6667,0.0312,0.1696,0.0113,0.0065,0.0107,0.2741,0.2452,0.0070,0.0434,0.0000,2.2591,2.5125
TOTAL,5.4098,0.1017,8.2945,3.7896,7.2964,1.4716,0.7475,1.3401,22.0665,17.9785,2.8050,2.2829,0.2349,72.7127,30.4565
proof_irrel.v,0.0104,,0.0047,0.0008,0.0014,0.0003,0.0002,0.0003,0.0043,0.0036,0.0001,0.0016,0.0000,0.0553,0.0186
decidable.v,0.0252,,0.0264,0.0068,0.0208,0.0032,0.0017,0.0030,0.0538,0.0470,0.0028,0.0077,0.0000,0.3401,0.0824
tactics.v,0.0014,0.0016,0.0007,0.0001,0.0003,0.0001,0.0000,0.0000,0.0007,0.0006,0.0000,0.0006,0.0000,0.0286,0.0045
option.v,0.1460,0.0034,0.0943,0.0365,0.0397,0.0117,0.0063,0.0092,0.1399,0.1195,0.0059,0.0235,0.0000,1.1696,0.3027
orders.v,0.0201,,0.0124,0.0019,0.0068,0.0011,0.0006,0.0010,0.0156,0.0135,0.0010,0.0030,0.0000,0.1310,0.0375
numbers.v,0.2204,,0.0351,0.0355,0.0045,0.0119,0.0067,0.0100,0.1116,0.0906,0.0126,0.0270,0.0001,1.2786,0.3433
list.v,0.5077,0.0037,0.2740,0.3292,0.1816,0.1078,0.0581,0.0921,1.1480,0.9190,0.0774,0.1945,0.0000,6.5796,1.6811
list_numbers.v,,,,0.0138,0.0018,0.0043,0.0025,0.0037,0.0407,0.0317,0.0023,0.0084,0.0000,0.2365,0.0462
fin.v,0.0042,,0.0011,0.0002,0.0000,0.0001,0.0000,0.0000,0.0007,0.0006,0.0001,0.0004,0.0000,0.0160,0.0052
countable.v,0.0642,0.0014,0.0627,0.0261,0.0593,0.0101,0.0072,0.0085,0.1480,0.1287,0.0056,0.0167,0.0000,0.7884,0.2235
vector.v,0.0089,,0.0074,0.0103,0.0068,0.0030,0.0021,0.0026,0.0384,0.0323,0.0049,0.0056,0.0000,0.2680,0.0498
finite.v,0.0582,0.0010,0.2411,0.0458,0.2557,0.0281,0.0140,0.0173,0.4681,0.4011,0.0300,0.0436,0.1234,1.3351,0.5566
sets.v,0.7910,0.0028,0.3745,0.3926,0.1708,0.1576,0.0855,0.1689,2.1132,1.6712,0.6288,0.2502,0.0000,11.0795,3.0818
relations.v,0.0161,,0.0068,0.0071,0.0055,0.0023,0.0012,0.0032,0.0557,0.0474,0.0277,0.0053,0.0000,0.1960,0.0748
fin_sets.v,0.2377,,0.3122,0.3129,0.2531,0.1035,0.0598,0.1062,2.0568,1.7481,0.8840,0.1743,0.1114,6.0184,2.3892
fin_maps.v,1.0379,0.0021,3.9717,1.4854,4.1133,0.5676,0.2843,0.4784,9.1286,7.5822,0.4508,0.8134,0.0000,19.9066,10.5083
fin_map_dom.v,0.2165,0.0014,1.5723,0.3659,1.6267,0.1740,0.0729,0.1502,3.2878,2.7840,0.3676,0.2634,0.0000,4.4399,3.6253
listset.v,0.0638,,0.0096,0.0102,0.0005,0.0030,0.0024,0.0036,0.0353,0.0247,0.0019,0.0079,0.0000,0.5565,0.1058
lexico.v,0.0351,,0.0391,0.0201,0.0325,0.0038,0.0021,0.0036,0.0750,0.0668,0.0019,0.0086,0.0000,0.3969,0.1244
boolset.v,0.0241,,0.0051,0.0013,0.0023,0.0006,0.0004,0.0006,0.0081,0.0062,0.0005,0.0019,0.0000,0.1122,0.0336
mapset.v,0.1398,,0.0325,0.0430,0.0045,0.0199,0.0075,0.0112,0.2302,0.1190,0.0075,0.0182,0.0000,1.0039,0.3840
pmap.v,0.0349,,0.0164,0.0720,0.0221,0.0266,0.0123,0.0330,0.3038,0.1998,0.0357,0.0642,0.0000,2.0179,0.3774
strings.v,0.0091,,0.0014,0.0050,0.0004,0.0015,0.0010,0.0004,0.0123,0.0109,0.0009,0.0012,0.0000,0.0541,0.0151
pretty.v,0.0131,0.0018,0.0017,0.0121,0.0031,0.0054,0.0023,0.0050,0.0513,0.0328,0.0025,0.0120,0.0000,0.3744,0.0689
infinite.v,0.0226,,0.0097,0.0046,0.0066,0.0016,0.0010,0.0016,0.0228,0.0177,0.0010,0.0041,0.0000,0.2192,0.0482
gmap.v,0.2602,,0.1374,0.1347,0.1275,0.0592,0.0268,0.0445,0.5705,0.4293,0.0307,0.0797,0.0000,1.6318,0.8680
stringmap.v,,,,0.0083,0.0012,0.0035,0.0020,0.0030,0.0387,0.0296,0.0103,0.0045,0.0000,0.1568,0.0416
zmap.v,0.0254,,0.0038,0.0336,0.0076,0.0221,0.0055,0.0090,0.1140,0.0865,0.0052,0.0127,0.0000,0.5181,0.1484
hashset.v,0.0521,,0.0061,0.0491,0.0055,0.0148,0.0119,0.0483,0.1896,0.1073,0.0099,0.0246,0.0000,0.6708,0.2548
natmap.v,0.0298,,0.0042,0.0299,0.0035,0.0086,0.0054,0.0101,0.1014,0.0729,0.0106,0.0163,0.0000,0.9885,0.1429
streams.v,0.0174,,0.0048,0.0015,0.0001,0.0005,0.0002,0.0005,0.0043,0.0034,0.0003,0.0019,0.0000,0.0725,0.0232
gmultiset.v,0.5391,0.0024,0.1629,0.1127,0.0261,0.0388,0.0249,0.0440,0.4659,0.3698,0.1226,0.0542,0.0000,2.8737,1.0342
listset_nodup.v,0.0370,,0.0052,0.0027,0.0001,0.0008,0.0007,0.0008,0.0091,0.0064,0.0004,0.0027,0.0000,0.2032,0.0485
nmap.v,0.0287,,0.0042,0.0192,0.0030,0.0050,0.0032,0.0053,0.0572,0.0414,0.0035,0.0077,0.0000,0.4367,0.0916
coPset.v,0.0407,,0.0050,0.0034,0.0016,0.0012,0.0008,0.0012,0.0149,0.0107,0.0011,0.0029,0.0000,0.2614,0.0577
coGset.v,0.1196,,0.0911,0.0500,0.0847,0.0172,0.0108,0.0214,0.2657,0.2108,0.0215,0.0243,0.0000,1.4775,0.4033
propset.v,0.0230,,0.0067,0.0054,0.0036,0.0151,0.0012,0.0020,0.0355,0.0295,0.0009,0.0040,0.0000,0.2882,0.0616
functions.v,0.0076,,0.0018,0.0017,0.0002,0.0004,0.0003,0.0005,0.0049,0.0039,0.0004,0.0011,0.0000,0.0474,0.0136
sorting.v,0.0155,,0.0129,0.0078,0.0096,0.0031,0.0016,0.0030,0.0360,0.0293,0.0018,0.0068,0.0000,0.2942,0.0564
nat_cancel.v,0.0354,0.0041,0.0099,0.0001,0.0003,0.0001,0.0000,0.0000,0.0007,0.0006,0.0000,0.0018,0.0000,0.1265,0.0427
