fname,Compiler for Instance,Compiler for Class,Compile Instance,build query,compile context, normalize ty,resolve_all_evars,mode check,refine.typecheck,msolve,full instance search, instance search,get_and_compile,query-compilation,static-check,optimization,runtime,elpitot - elpitime,ELPI TIME,COQ_TIME
options,,,,,,,,,,,,,0.0125,,,,,-0.0125,,
TOTAL,2.0593,0.0324,5.9349,2.3219,5.2265,1.4382,,0.4829,1.3305,16.8790,14.3925,3.1018,18.2778,2.3383,0.3147,74.9599,20.8526,48.4927,165.2360,52.9790
base,0.2110,0.0246,0.3321,0.0161,0.1761,0.0119,,0.0048,0.0119,0.2617,0.2379,0.0093,1.3628,0.0488,0.0000,2.8548,0.5835,0.3921,5.2420,0.5400
proof_irrel,0.0201,,0.0197,0.0006,0.0014,0.0004,,0.0001,0.0004,0.0043,0.0035,0.0002,0.2151,0.0013,0.0000,0.0568,0.0253,0.2205,0.5190,0.2280
decidable,0.0227,,0.0391,0.0052,0.0239,0.0033,,0.0016,0.0033,0.0508,0.0443,0.0037,0.2296,0.0085,0.0000,0.3881,0.0810,0.2958,1.0030,0.3270
tactics,0.0010,0.0006,0.0011,0.0001,0.0004,0.0001,,0.0000,0.0001,0.0010,0.0008,0.0001,0.0618,0.0009,0.0000,0.0458,0.0034,0.2601,0.3720,0.2410
option,0.0598,0.0012,0.0640,0.0183,0.0310,0.0098,,0.0042,0.0088,0.1047,0.0868,0.0068,0.4780,0.0220,0.0000,1.2364,0.1969,0.4747,2.4080,0.5360
orders,0.0076,,0.0107,0.0014,0.0064,0.0011,,0.0005,0.0011,0.0146,0.0126,0.0014,0.4242,0.0025,0.0000,0.1496,0.0245,0.2542,0.8550,0.2430
well_founded,,,,,,,,,,,,,,,,,,0.2150,0.2150,0.1980
numbers,0.0634,,0.0398,0.0240,0.0036,0.0101,,0.0047,0.0096,0.1011,0.0835,0.0244,1.7811,0.0247,0.0000,1.3557,0.1897,0.9178,4.2690,0.8140
list,0.2666,0.0013,0.2744,0.2067,0.1589,0.0993,,0.0448,0.0992,0.9834,0.7991,0.1101,1.4326,0.2438,0.0001,7.6077,1.4917,5.8181,16.5940,6.7470
list_numbers,,,,0.0101,0.0018,0.0048,,0.0022,0.0045,0.0390,0.0304,0.0038,0.0747,0.0112,0.0000,0.3122,0.0491,1.0078,1.4550,0.9860
fin,0.0016,,0.0010,0.0002,0.0000,0.0001,,0.0000,0.0001,0.0006,0.0005,0.0001,0.0838,0.0004,0.0000,0.0145,0.0025,0.2648,0.3660,0.3470
countable,0.0176,0.0003,0.0526,0.0166,0.0584,0.0098,,0.0045,0.0088,0.1286,0.1110,0.0069,0.2863,0.0186,0.0000,0.8802,0.1630,0.6359,1.9840,0.6990
vector,0.0034,,0.0055,0.0059,0.0047,0.0028,,0.0014,0.0026,0.0300,0.0250,0.0057,0.1178,0.0064,0.0000,0.2179,0.0379,0.5030,0.8830,0.5320
finite,0.0192,0.0004,0.1416,0.0394,0.1529,0.0191,,0.0090,0.0181,0.3361,0.2917,0.0418,0.3725,0.0374,0.1273,1.2060,0.3844,0.7274,2.8550,0.7940
sets,0.3336,0.0009,0.4541,0.2898,0.2309,0.1416,,0.0538,0.1649,1.8529,1.5759,0.6318,1.5337,0.2437,0.0000,10.9429,2.4149,2.6558,17.7910,3.5390
relations,0.0036,,0.0055,0.0031,0.0041,0.0019,,0.0008,0.0029,0.0322,0.0278,0.0153,0.3863,0.0048,0.0000,0.1827,0.0387,0.6095,1.2220,0.7750
