fname,Compiler for Instance,Compiler for Class,Compile Instance,build query,compile context, normalize ty,resolve_all_evars,mode check,refine.typecheck,msolve,full instance search, instance search,get_and_compile,query-compilation,static-check,optimization,runtime,elpitot - elpitime,ELPI TIME,COQ_TIME
base,0.3695,0.0551,0.6969,0.0234,0.1654,0.0115,,0.0062,0.0105,0.2610,0.2328,0.0071,1.3088,0.0465,0.0000,2.2580,2.6053,0.4004,6.6190,0.3340
TOTAL,5.4297,0.0928,8.4751,3.7114,7.4279,1.6431,,0.7363,1.3529,22.3765,18.2301,2.8385,26.7043,2.3252,0.2656,75.0605,31.7103,55.0361,191.1020,51.0860
proof_irrel,0.0093,,0.0046,0.0010,0.0014,0.0004,,0.0002,0.0004,0.0046,0.0038,0.0002,0.4172,0.0013,0.0000,0.0481,0.0149,0.1445,0.6260,0.1440
decidable,0.0342,,0.0262,0.0070,0.0206,0.0033,,0.0018,0.0030,0.0484,0.0416,0.0028,0.2672,0.0088,0.0000,0.3057,0.0896,0.2827,0.9540,0.2480
tactics,0.0015,0.0014,0.0008,0.0001,0.0003,0.0001,,0.0000,0.0001,0.0007,0.0006,0.0000,0.1492,0.0005,0.0000,0.0315,0.0043,0.2405,0.4260,0.2680
option,0.1253,0.0033,0.0823,0.0298,0.0468,0.0115,,0.0062,0.0099,0.1401,0.1190,0.0066,0.6942,0.0238,0.0000,1.2418,0.3047,0.5245,2.7890,0.5130
orders,0.0189,,0.0132,0.0025,0.0083,0.0012,,0.0008,0.0012,0.0189,0.0162,0.0011,0.9929,0.0035,0.0000,0.1908,0.0405,0.2493,1.4770,0.2540
well_founded,,,,,,,,,,,,,,,,,,0.1470,0.1470,0.1340
numbers,0.2007,,0.0350,0.0455,0.0046,0.0104,,0.0061,0.0094,0.1278,0.0958,0.0123,2.3024,0.0294,0.0000,1.2572,0.3570,0.9730,4.9190,0.8200
list,0.5378,0.0042,0.3032,0.3414,0.1686,0.1032,,0.0661,0.1006,1.2204,0.9268,0.0867,1.5329,0.2293,0.0000,7.1166,1.9761,6.6731,17.5280,6.3370
list_numbers,,,,0.0144,0.0020,0.0044,,0.0026,0.0038,0.0414,0.0321,0.0024,0.0732,0.0099,0.0000,0.3407,0.0534,0.9698,1.4470,0.8650
fin,0.0039,,0.0011,0.0003,0.0000,0.0001,,0.0000,0.0001,0.0007,0.0006,0.0001,0.1636,0.0004,0.0000,0.0145,0.0049,0.2556,0.4390,0.2800
countable,0.0522,0.0013,0.0703,0.0279,0.0672,0.0114,,0.0079,0.0094,0.1574,0.1362,0.0062,0.3992,0.0233,0.0000,0.8081,0.2301,0.7683,2.2290,0.6360
vector,0.0090,,0.0067,0.0095,0.0059,0.0029,,0.0019,0.0025,0.0349,0.0293,0.0049,0.2293,0.0056,0.0000,0.1758,0.0483,0.5650,1.0240,0.4550
finite,0.0662,0.0010,0.3237,0.0460,0.3474,0.0192,,0.0139,0.0174,0.5351,0.4771,0.0232,0.5154,0.0640,0.1347,1.1405,0.6315,0.6229,3.1090,0.8360
sets,0.8197,0.0107,0.4077,0.4172,0.1842,0.1542,,0.0828,0.1827,2.2173,1.7454,0.6670,1.8777,0.2596,0.0000,11.6415,3.3142,3.4330,20.5260,3.2910
relations,0.0139,,0.0061,0.0063,0.0051,0.0022,,0.0010,0.0031,0.0415,0.0339,0.0164,1.0229,0.0050,0.0000,0.2190,0.0590,0.6181,1.9240,0.6660
fin_sets,0.2773,,0.3096,0.2717,0.2534,0.1036,,0.0553,0.1103,2.1006,1.7943,0.9020,0.6736,0.1663,0.1309,6.0596,2.5506,1.8240,11.4050,2.4360
fin_maps,1.0684,0.0022,4.1606,1.4706,4.2942,0.5959,,0.2893,0.4927,9.4544,7.8303,0.4759,1.7429,0.8456,0.0000,21.1914,11.1207,11.7184,46.6190,10.9040
fin_map_dom,0.2261,0.0024,1.4758,0.3795,1.5162,0.3553,,0.0756,0.1705,3.4543,2.8662,0.3777,0.9504,0.2365,0.0000,4.7386,3.8632,2.0383,11.8270,2.3210
listset,0.0496,,0.0088,0.0079,0.0004,0.0024,,0.0017,0.0028,0.0257,0.0179,0.0013,0.5003,0.0062,0.0000,0.4279,0.0807,0.4519,1.4670,0.3740
lexico,0.0362,,0.0360,0.0076,0.0296,0.0031,,0.0017,0.0031,0.0562,0.0482,0.0014,0.2427,0.0075,0.0000,0.3107,0.1056,0.4315,1.0980,0.3510
prelude,,,,,,,,,,,,,,,,,,0.6110,0.6110,0.5700
boolset,0.0159,,0.0049,0.0014,0.0022,0.0006,,0.0004,0.0006,0.0077,0.0059,0.0005,0.2116,0.0016,0.0000,0.1574,0.0250,0.3644,0.7600,0.3360
mapset,0.2157,,0.0339,0.0650,0.0047,0.0118,,0.0073,0.0106,0.1532,0.1114,0.0066,0.5842,0.0178,0.0000,0.9980,0.3827,0.6693,2.6520,0.6580
pmap,0.0346,,0.0208,0.0254,0.0208,0.0583,,0.0126,0.0084,0.1900,0.1141,0.0056,0.5140,0.0642,0.0000,2.3553,0.2779,3.5256,6.7370,1.0990
strings,0.0082,,0.0014,0.0040,0.0004,0.0011,,0.0007,0.0003,0.0099,0.0086,0.0009,0.4589,0.0023,0.0000,0.1184,0.0220,0.9164,1.5180,0.7740
pretty,0.0145,0.0011,0.0021,0.0123,0.0033,0.0056,,0.0025,0.0051,0.0512,0.0327,0.0021,0.2485,0.0129,0.0000,0.5666,0.0854,0.9736,1.8870,1.1000
infinite,0.0237,,0.0105,0.0049,0.0071,0.0017,,0.0011,0.0017,0.0240,0.0185,0.0010,0.3944,0.0042,0.0000,0.2493,0.0510,0.6161,1.3150,0.6140
gmap,0.1778,,0.1219,0.1498,0.1172,0.0511,,0.0188,0.0411,0.5491,0.4109,0.0318,0.6883,0.0751,0.0000,1.6718,0.7758,1.6250,4.8360,1.4780
stringmap,,,,0.0084,0.0012,0.0035,,0.0020,0.0030,0.0304,0.0210,0.0019,0.1232,0.0042,0.0000,0.2060,0.0333,0.4763,0.8430,0.4760
zmap,0.0259,,0.0039,0.0326,0.0057,0.0095,,0.0056,0.0093,0.0994,0.0708,0.0054,0.4852,0.0133,0.0000,0.5463,0.1341,0.5511,1.7300,0.5090
hashset,0.0439,,0.0062,0.0512,0.0060,0.0152,,0.0071,0.0146,0.1476,0.1049,0.0097,0.7941,0.0267,0.0000,0.6585,0.2055,1.0902,2.7750,1.0010
natmap,0.0281,,0.0039,0.0280,0.0033,0.0081,,0.0137,0.0089,0.1003,0.0748,0.0096,0.4409,0.0147,0.0000,0.8965,0.1424,1.1165,2.6110,1.2600
